,en,fr,prec,rec
0,"this is a dead @-@ end alley .
","この 路地 は 通り抜け でき ま せ ん 。
",0.25,0.25
1,"yes , sorry , i forgot to acknowledge it .
","ええ 、 届 い た の を お 知 らせ する の を 忘れ て しま っ て す み ま せ ん 。
",0.2,0.3
2,"he is a german by origin .
","彼 は ドイツ 生まれ の 人 だ 。
",0.5,0.5714285714285714
3,"we are familiar with the legend of robin hood .
","我々 は ロビン フッド の 伝説 を 良く 知 っ て い る 。
",0.3333333333333333,0.3
4,"is your trunk locked ?
","トランク に は 鍵 が かけ られ て い ま す か 。
",0.125,0.2
5,"i just meant it as a joke .
","それ は 冗談 の つもり で い っ た だけ だ よ 。
",0.14285714285714285,0.125
6,"the room had a nice cozy feel .
","その 部屋 は 居心地 の 良 い 感じ が し た 。
",0.2222222222222222,0.25
7,"she alone is able to use the personal computer .
","パソコン が 使え る の は 彼女 だけ で す 。
",0.3333333333333333,0.3
8,"they agreed on a joint statement .
","彼 ら は 共同 声明 に 同意 し た 。
",0.375,0.42857142857142855
9,"he handed her up into the bus .
","彼 は 彼女 を バス に 助け あげ た 。
",0.375,0.375
10,"whatever faults he may have , meanness is not one of them .
","彼 に どんな 欠点 が あ る に し て も 、 卑劣 な ところ は な い 。
",0.23076923076923078,0.23076923076923078
11,"&quot; will they be open this early in the morning ? &quot; &quot; they &apos;ll let me in on sight . &quot;
","「 こんな 朝 早く から 開館 し て る ん で す か ？ 」 「 私 は 顔 パス よ 」
",0.2,0.18181818181818182
12,"man , too , has been given protective devices against extreme temperatures .
","人間 も 極度 に 寒 い 温度 に 対 し て は 、 防御 装置 を 備え て い る 。
",0.0625,0.07692307692307693
13,"i stopped smoking .
","私 は タバコ を 吸 う の を やめ た 。
",0.2857142857142857,0.5
14,"he struck me in a passion .
","彼 は かっと な っ て 私 を 殴 っ た 。
",0.375,0.42857142857142855
15,"he pulled the rope .
","彼 は ロープ を 引っ張 っ た 。
",0.3333333333333333,0.4
16,"why not apologize and ask for his pardon ?
","どう し て あやま っ て 彼 の 許し を こ わ な い ん だ 。
",0.0,0.0
17,"i suppose they are coming .
","私 は 彼 ら は 来る と 思 う 。
",0.2857142857142857,0.3333333333333333
18,"the house which stands on the hill is very old .
","丘 の 上 に 建 っ て い る 家 は とても 古 い 。
",0.2727272727272727,0.2727272727272727
19,"i arrived there too early .
","私 は 早 く 着 き すぎ た 。
",0.2857142857142857,0.3333333333333333
20,"i would like to repay him for his kindness .
","私 は 彼 の 親切 に こたえ た い 。
",0.375,0.3
21,"the roof was torn off by the gale .
","屋根 は 強風 に 飛ば さ れ た 。
",0.3333333333333333,0.3333333333333333
22,"a boat suddenly appeared out of the mist .
","霧 の 中 から 突然 船 が 現れ た 。
",0.3333333333333333,0.3333333333333333
23,"he would still be alive if he had been wearing his seat belt when the car crashed .
","車 が 衝突 し た とき シート ベルト を し て い た ら 、 彼 は 今 で も 生き て い る だ ろ う 。
",0.2222222222222222,0.2222222222222222
24,"when you get married and have kids , you &apos;ll realize that actions speak louder than words .
","あなた が 結婚 し 子供 を 持 っ た ら 、 言葉 より 実践 と い う こと を 悟 る で しょ う 。
",0.21052631578947367,0.2222222222222222
25,"it leaves nothing much to be desired .
","それ は 遺憾 な ところ が 多 い 。
",0.14285714285714285,0.125
26,"you can &apos;t turn the heat off as long as the system is operating .
","その 装置 が 作動 し て い る 間 は 暖房 を 止め る こと は でき な い 。
",0.36363636363636365,0.26666666666666666
27,"the picnic was called off because of rain .
","ピクニック は 雨 の ため に 中止 に な っ た 。
",0.2,0.2222222222222222
28,"he often stays away from home on the weekend .
","彼 は 週末 に よく 家 を 空け る 。
",0.25,0.2
29,"the german shepherd was limping down the street .
","その シェパード は 、 びっこ を ひ き ながら 道 を 歩 い て い た 。
",0.23076923076923078,0.3333333333333333
30,"bob has too many books to read .
","ボブ は 読 み きれ な い ほど たくさん の 本 を 持 っ て い る 。
",0.2,0.25
31,"he hammered nails into the plank .
","板 に くぎ を 打ち込 ん だ 。
",0.1111111111111111,0.14285714285714285
32,"have you finished your homework already ?
","宿題 は もう 終わ っ た の で す か 。
",0.2857142857142857,0.2857142857142857
33,"that &apos;s about it .
","まず その 辺 で す 。
",0.14285714285714285,0.2
34,"my dream is to take a round @-@ the @-@ world trip .
","夢 は 、 世界 一周 旅行 。
",0.42857142857142855,0.23076923076923078
35,"please take me home tonight .
","今夜 は 家 に つれ て い っ て く れ 。
",0.14285714285714285,0.16666666666666666
36,"i have had to stay in bed for two days .
","２ 日間 ベッド に い な く て は な ら な かっ た 。
",0.3333333333333333,0.2727272727272727
37,"the firemen had the fire out in no time .
","消防 士 は あっ と い う 間 に 火 を 消 し た 。
",0.25,0.3
38,"can i borrow your umbrella ?
","あなた の 傘 を 借り て い い で す か 。
",0.3333333333333333,0.3333333333333333
39,"i will stay home if it rains tomorrow .
","明日 雨降り なら 私 は 家 に い ま す 。
",0.25,0.2222222222222222
40,"she was the last to cross the finishing line .
","彼女 が 最後 に ゴール し た 人 で す 。
",0.5,0.4
41,"nothing is more vivid than a picture .
","写真 ほど 鮮明 な もの は な い 。
",0.25,0.25
42,"tax cuts are often used as a major fiscal tool to stimulate the economy .
","減税 は しばしば 経済 を 刺激 する 重要 な 財政 政策 手段 と し て 使 わ れ る 。
",0.11764705882352941,0.13333333333333333
43,"the bridge crashed under the pressure .
","橋 が 圧力 で 落ち た 。
",0.2857142857142857,0.2857142857142857
44,"i know the facts well enough .
","私 は その 事実 を 十分 よく 知 っ て い る 。
",0.42857142857142855,0.42857142857142855
45,"it won &apos;t be easy to find someone capable of taking his place .
","彼 の 後 を 継 ぐ だけ の 能力 の あ る 人物 を 見つけ る の は 容易 で は な い だ ろ う 。
",0.25,0.2857142857142857
46,"i hurried in order to catch the first train .
","私 は 一 番 列車 に 間に合 う よう に 急 い だ 。
",0.3,0.3
47,"i cannot put up with his idleness any longer .
","私 は もはや 彼 の なまけ を 我慢 出来 な い 。
",0.25,0.2
48,"she resembles her aunt .
","彼女 は 叔母 に 似 て い る 。
",0.42857142857142855,0.6
49,"he earns a good salary .
","彼 は い い 給料 を もら っ て い る 。
",0.5,0.5
50,"the boy singing a song is my brother .
","歌 を 歌 っ て い る 少年 は 私 の 弟 で す 。
",0.3,0.3333333333333333
51,"she was lying face down on the bed .
","彼女 は ベッド の 上 に うつ伏せ に 倒れ て い た 。
",0.3333333333333333,0.3333333333333333
52,"i have an urgent matter to attend to .
","急 い で する 事 が あ る 。
",0.14285714285714285,0.1111111111111111
53,"i had to cancel my trip on account of the strike .
","私 は 、 ストライキ の ため に 、 旅行 を 中止 し な けれ ば な ら な かっ た 。
",0.5384615384615384,0.5833333333333334
54,"everyone is not honest .
","だれ で も が み な 正直 と は 限 ら な い 。
",0.3333333333333333,0.6
55,"if i were in your place , i would lend him a hand .
","もし 私 が 君 の 立場 なら 、 彼 を 手伝 っ て や る だ ろ う に 。
",0.23076923076923078,0.21428571428571427
56,"you should cultivate the habit of getting up early .
","早起き の 習慣 を 養 う よう に し なさ い 。
",0.2222222222222222,0.2
57,"i will never forget seeing you .
","君 に 会 っ た こと を 私 は 決して 忘れ ま せ ん 。
",0.3,0.42857142857142855
58,"have you ever been to canada ?
","カナダ へ 行 っ た こと が あ り ま す か 。
",0.2857142857142857,0.2857142857142857
59,"the front of the bus was not crowded .
","バス の 前 の ほう は す い て い た 。
",0.3333333333333333,0.3333333333333333
60,"he was welcomed wherever he went .
","彼 は 出かけ た 先々 で 歓迎 さ れ た 。
",0.3333333333333333,0.42857142857142855
61,"he sometimes forgets what he was talking about .
","彼 は 自分 が 何 を 話 し て い る か を 時々 忘れ て しま う 。
",0.3,0.3333333333333333
62,"she is in no humor for task .
","彼女 は その 仕事 を する 気分 で は な い 。
",0.3333333333333333,0.375
63,"i like baseball .
","私 は 野球 が 好き だ 。
",0.6,0.75
64,"no person by that name is listed in the register of the school .
","その 名 の 人 は 学籍 簿 に 載 っ て ま せ ん 。
",0.3,0.21428571428571427
65,"if the harvest gets any worse , there could be a famine .
","収穫 が もっと 悪 く な れ ば 、 飢饉 が 起こ る か も 知れ な い 。
",0.2,0.23076923076923078
66,"father went red with anger when i behaved rudely towards him .
","父 は 私 が 彼 に 対 し て 失礼 な 言動 を と っ た とき 、 怒り で 顔 が 真っ赤 に な っ た 。
",0.23076923076923078,0.25
67,"he was standing at the top of the mountain .
","彼 は 山 の 頂上 に 立 っ て い ま し た 。
",0.42857142857142855,0.3
68,"we all like cycling .
","私 たち みんな 自転 車 に 乗 る の が 好き で す 。
",0.375,0.6
69,"babies often fall down .
","赤ん坊 は よく 転 ぶ 。
",0.14285714285714285,0.2
70,"the question was too difficult to answer .
","その 質問 は 難し すぎ て 答え られ な かっ た 。
",0.3,0.375
71,"she looks like a teacher .
","彼女 は 教師 の よう に 見え る 。
",0.2857142857142857,0.3333333333333333
72,"&quot; weren &apos;t you there ? &quot; asked mr jordan .
","ジョーダン さん は 「 授業 に 出 て い な かっ た の で す か 」 と たずね た 。
",0.0,0.0
73,"&quot; anything else ? &quot; &quot; no , that &apos;s all . &quot;
","「 ほか に 何 か 要 り ま す か 」 「 それ だけ で 結構 で す 」
",0.16666666666666666,0.15384615384615385
74,"worry affected his health .
","気 苦労 が 彼 の 体 に 響 い た 。
",0.2222222222222222,0.4
75,"he explained it at length .
","彼 は それ を 詳し く 説明 し だ し た 。
",0.5,0.5
76,"&quot; cheer up , &quot; she said to me .
","「 元気 を 出 し なさ い 」 と 彼女 は 私 に 言 い ま し た 。
",0.16666666666666666,0.2
77,"i &apos;m not really familiar with computers .
","本当 を 言 う と 、 コンピューター に は 詳し く な い の で す 。
",0.09090909090909091,0.125
78,"i want to chill the wine more .
","ワイン を もっと 冷や し た い 。
",0.25,0.25
79,"she is in a temper , because she missed her usual train in the subway and had to walk to work .
","彼女 は 機嫌 が 悪 い と い う の も 、 いつ も 地下 鉄 に 乗 り 遅れ 仕事 場 まで 歩 く 羽目 に な っ た から だ 。
",0.3,0.2727272727272727
80,"it said rain from this evening .
","夕方 から 雨 だ って い っ て い た よ 。
",0.1111111111111111,0.14285714285714285
81,"by tomorrow morning all the world will have been covered with snow .
","あす の 朝 まで に は 一面 の 銀 世界 に な っ て い る だ ろ う 。
",0.14285714285714285,0.15384615384615385
82,"had i known it , i would have told you .
","知 っ て い れ ば 教え て あげ た ん だ けど 。
",0.4,0.36363636363636365
83,"ignorance is bliss .
","無知 は 幸福 。
",0.3333333333333333,0.5
84,"what a waste of your lawyer qualifications !
","せっかく 弁護 士 の 資格 が あ る の に もったい な い 。
",0.1,0.125
85,"make the best of your small income .
","少な い 収入 を でき る 限り いか し た い 。
",0.16666666666666666,0.25
86,"may i call on you some day ?
","いつ か あなた を 訪問 し て も い い で す か 。
",0.42857142857142855,0.375
87,"i didn &apos;t know whether to stay here or go to london .
","私 は ここ に とどま る べ き か ロンドン へ 行 く べ き か 分か ら な かっ た 。
",0.2857142857142857,0.3076923076923077
88,"dan is often scolded by his mother .
","ダン は よく お 母 さん に しか ら れ る 。
",0.1111111111111111,0.125
89,"george is quite talkative .
","ジョージ は とても 話 好き だ 。
",0.14285714285714285,0.2
90,"there are cases where the system doesn &apos;t go .
","システム が 作動 し な い 場合 が あ る 。
",0.2222222222222222,0.2
91,"she goes to the movies once a week .
","彼女 は 毎週 １ 回 映画 を 見 に 行 く 。
",0.36363636363636365,0.4444444444444444
92,"he is fine and gentle .
","彼 は とって も やさし い よ 。
",0.375,0.5
93,"i am almost 180 centimeters tall .
","私 は ほとんど １８０ センチ で す 。
",0.25,0.2857142857142857
94,"he resembles his mother .
","彼 は 母親 に 似 て い る 。
",0.42857142857142855,0.6
95,"tokyo is by far the largest city in japan .
","東京 は だんぜん 日本 で 一番 大き い 都市 で す 。
",0.3,0.3
96,"if you wish to get on in the world , you must not shrink from effort .
","出世 し た い の なら 、 努力 を おそれ て は な ら な い 。
",0.4166666666666667,0.29411764705882354
97,"&quot; it &apos;s still shallow , eh . my feet still touch the bottom . &quot; &quot; it &apos;s quite a shallow beach . yotsuba , you can still touch the bottom can &apos;t you ? &quot;
","「 まだ 浅 い ね 。 足 とど く 」 「 結構 遠浅 だ な 。 よ つば も まだ 足 つ く だ ろ 」
",0.35,0.1891891891891892
98,"my grandfather hopes that i will enter college .
","私 の お じい ちゃん は 私 が 大学 に 行 く こと を 望 ん で い る 。
",0.16666666666666666,0.2222222222222222
99,"it &apos;s easy to lose track of time when you are in las vegas .
","ラスベガス が い る と 時間 が 経 つ の を 忘れ る 。
",0.1,0.06666666666666667
100,"he glared at me fiercely .
","彼 は 非常 な 剣幕 で 私 を にらみ付け た 。
",0.25,0.3333333333333333
101,"a fence between makes love more keen .
","間 の 垣根 が 恋 を いっそう 燃え立 た せ る 。
",0.1111111111111111,0.125
102,"caroline knows better than to spend all her money on clothes .
","キャロライン は すべて の お 金 を 洋服 に 使 う ほど 愚か で は な い 。
",0.14285714285714285,0.16666666666666666
103,"he has just been appointed the u.s. ambassador to japan .
","彼 は 駐日 アメリカ 大使 に 命 じ られ た ばかり で す 。
",0.3,0.2727272727272727
104,"she married to the kind of man you would expect her to pick .
","彼女 なら 当然 選 び そう な 人 と 彼女 は 結婚 し た 。
",0.36363636363636365,0.2857142857142857
105,"i met my friend on the street .
","昨日 通り で 友人 に 会 っ た 。
",0.375,0.375
106,"liquor will have an effect on a person .
","お 酒 を 飲 む と 影響 が 出 る もの だ 。
",0.18181818181818182,0.2222222222222222
107,"i believe in you .
","君 を 信頼 し て い る 。
",0.3333333333333333,0.4
108,"our train went at 200 kilometers an hour .
","我々 の 列車 は 時速 ２００ キロ で 走 っ た 。
",0.2222222222222222,0.2222222222222222
109,"we are crying .
","私 たち は 泣 い て い る の 。
",0.5,0.75
110,"she caught her breath .
","彼女 は 息 を 飲 ん だ 。
",0.5,0.6
111,"you must not smoke till you grow up .
","君 たち は 大人 に な る まで タバコ を 吸 っ て は いけ な い 。
",0.4444444444444444,0.4444444444444444
112,"he tapered off to one cigarette a day .
","彼 は たばこ を 一 日 一 本 に 減ら し て い っ た 。
",0.2222222222222222,0.2222222222222222
113,"your daughter &apos;s on drugs .
","貴殿 の 娘 さん は 麻薬 漬け で す 。
",0.1111111111111111,0.16666666666666666
114,"let &apos;s put her in charge of that .
","彼女 を その 任務 に 就け よう 。
",0.1111111111111111,0.1111111111111111
115,"a travel agent arranged everything for our trip .
","ある 旅行 会社 が 我々 の 旅行 の 手配 を 全部 し て くれ た 。
",0.14285714285714285,0.2222222222222222
116,"she may well be proud of her son .
","彼女 が 息子 を 自慢 する の も もっとも だ 。
",0.3,0.3333333333333333
117,"the pain shoots into my right leg .
","痛み が 右脚 に 走 り ま す 。
",0.14285714285714285,0.125
118,"the list of participants is as follows .
","参加 者 の リスト は 次 の とおり で す 。
",0.3333333333333333,0.375
119,"she will often go shopping on holidays .
","彼女 は 休日 に な る と よく 買い物 に 行 き ま す 。
",0.36363636363636365,0.5
120,"i spent all yesterday afternoon cleaning my room .
","昨日 の 午後 は ずっと 、 私 の 部屋 を 掃除 する の に 費や し た 。
",0.13333333333333333,0.2222222222222222
121,"something is always going wrong with the machine .
","その 機械 は いつ も どこ か 故障 ばかり し て い る 。
",0.5,0.4444444444444444
122,"please check if the meat is being roasted at the right heat .
","焼き肉 の 火 加減 を 見 なさ い 。
",0.1111111111111111,0.07692307692307693
123,"i asked her to marry me and she accepted .
","彼女 に 結婚 し て くれ な い か と 言 っ たら 彼女 は 承知 し て くれ た 。
",0.26666666666666666,0.4
124,"would you be kind enough to tell me the truth ?
","本当 の こと を おっしゃ っ て いただけ ま せ ん か 。
",0.2857142857142857,0.18181818181818182
125,"his father breathed his last this morning .
","彼 の 父 は 今朝 息 を 引き取 り ま し た 。
",0.5,0.5
126,"she tried to commit suicide .
","彼女 は 自殺 を し よう と し た 。
",0.2857142857142857,0.3333333333333333
127,"he lost his way in the woods .
","彼 は 森 で 迷 っ た 。
",0.5714285714285714,0.5
128,"if my wife calls , just tell her i &apos;m in an important meeting and cannot be disturbed .
","妻 が 電話 し て き た ら 、 私 は 重要 な 会議 中 で 出 られ な い と 言 っ て くださ い 。
",0.15,0.15789473684210525
129,"we often eat foods which are harmful to our health without knowing it .
","私 たち は 健康 に 有害 な 食品 を 知 ら ず に 食べ て い る 事 が よく あ る 。
",0.2,0.14285714285714285
130,"i don &apos;t know how to cook too many things .
","料理 の レパートリー は 限 ら れ て る の 。
",0.125,0.09090909090909091
131,"what heading does this book come under ?
","この 本 は 何 の 項目 に 入 り ま す か 。
",0.3333333333333333,0.375
132,"he finally made up his mind to marry the girl he had met in paris .
","彼 は パリ 出会 っ た 女性 と 結婚 する 決心 を し た 。
",0.36363636363636365,0.25
133,"he bothered her with questions .
","彼 は 彼女 に うるさ く 質問 し て 困 ら せ た 。
",0.3,0.5
134,"can you direct me to the nearest subway station ?
","最寄り の 地下 鉄 へ 行 く 道 を 教え て くれ ま せ ん か 。
",0.4166666666666667,0.5
135,"after all is said and done , he was a first @-@ rate novelist .
","彼 は 結局 は 一流 の 小説 家 で あ っ た 。
",0.36363636363636365,0.26666666666666666
136,"drivers must observe the traffic rules .
","運転 者 は 交通 規則 を 守 ら ね ば な ら な い 。
",0.2222222222222222,0.2857142857142857
137,"he is not so much a politician as a merchant .
","彼 は 政治 家 と い う より も むしろ 商人 だ 。
",0.45454545454545453,0.45454545454545453
138,"he acceded to my proposal .
","彼 は 私 の 提案 に 同意 し た 。
",0.2857142857142857,0.3333333333333333
139,"don &apos;t press your opinion on me .
","自分 の 考え を 僕 に 押しつけ る な 。
",0.375,0.375
140,"he played tennis .
","彼 は テニス を し た 。
",0.3333333333333333,0.5
141,"back into the hole where i was born .
","薄汚 い 生まれ た 故郷 の 街 に 戻 っ て き た 。
",0.3333333333333333,0.4444444444444444
142,"the car ran into a guardrail .
","車 は ガードレール に 衝突 し た 。
",0.25,0.2857142857142857
143,"there are enough accidents without asking for one .
","注意 し て い て も 事故 は いろいろ 起き て い ま す から ね 。
",0.07142857142857142,0.1111111111111111
144,"neither of his students passed the exam .
","彼 の 教え子 の 中 で その 試験 に 合格 し た 者 は い な かっ た 。
",0.25,0.375
145,"my tape recorder is compatible with your amplifier .
","私 の テープ レコーダー は 君 の アンプ に も つなげ られ る 。
",0.18181818181818182,0.2222222222222222
146,"he was injured in a railway accident .
","彼 は 列車 事故 で けが を し た 。
",0.4444444444444444,0.5
147,"the batter struck out swinging .
","バッター は 空振り の 三振 を し た 。
",0.2222222222222222,0.3333333333333333
148,"death is certain to all , all shall die .
","死 は 万 人 に 来る べ き もの 、 すべて 人 は 死 す べ き もの な り 。
",0.3076923076923077,0.4
149,"i really enjoyed myself tonight .
","今日 は 楽し かっ た 。
",0.2857142857142857,0.3333333333333333
150,"i had written the letter when he came .
","彼 が 来 た とき は 私 は その 手紙 を 書 き 終え て い た 。
",0.18181818181818182,0.2222222222222222
151,"then , at last , the policeman lowered his arm .
","そして 、 ようやく その 警官 は 腕 を 下げ た 。
",0.18181818181818182,0.18181818181818182
152,"we kept on working for hours without eating anything .
","我々 は 何 も 食べ ず に 何 時間 も 働 き 続け た 。
",0.2222222222222222,0.2
153,"we talked over our problems .
","私 達 は 、 自ら の 問題 に つ い て 話し合 っ た 。
",0.2222222222222222,0.3333333333333333
154,"we had a very vigorous debate .
","私 たち は とても 活発 な 討論 を し た 。
",0.375,0.42857142857142855
155,"i prefer spring to fall .
","秋 より 春 の ほう が 好き だ 。
",0.375,0.5
156,"it is too far to go on foot from here to the hotel . better take a taxi .
","ここ から ホテル まで 徒歩 で 行 く に は 遠 すぎ ま す 。 タクシー に お 乗 り なさ い 。
",0.3333333333333333,0.2631578947368421
157,"everyone always speaks well of tony .
","みんな いつ も トニー を ほめ る 。
",0.14285714285714285,0.14285714285714285
158,"all of these abilities are passed on to us by genetic transmission ; we receive them by way of the genes that we inherit from our parents .
","後者 の 能力 は すべて 遺伝 に よ っ て 私 達 に 伝え られ る 。 つまり 、 親 から 受け つ ぐ 遺伝 子 を 通 し て 私 たち は そう し た 能力 を 受け取 る の で あ る 。
",0.1,0.07142857142857142
159,"in other words , i don &apos;t like to work with him .
","言い換え れ ば 、 私 は 彼 と 働 き た く な い 。
",0.36363636363636365,0.3076923076923077
160,"mike managed to carry the suitcase by himself .
","マイク は なん と か その スーツケース を 一人 で 運 ん だ 。
",0.2,0.2222222222222222
161,"we need the receipt mr smith signed .
","私 たち は スミス さん が サイン し た 領収 書 が 必要 で す 。
",0.25,0.375
162,"they invited me to play cards .
","彼 等 は トランプ を し な い か と 私 を 誘 っ て くれ た 。
",0.25,0.42857142857142855
